,state,x,y
0,Abia,-43,-183
1,Adamawa,257,15
2,Akwa Ibom,-53,-287
3,Anambra,-121,-192
4,Bauchi,66,92
5,Bayelsa,-181,-295
6,Benue,20,-120
7,Borno,319,228
8,Cross River,4,-218
9,Delta,-190,-257
10,Ebonyi,-41,-186
11,Edo,-191,-171
12,Ekiti,-235,-97
13,Enugu,-87,-179
14,FCT - Abuja,-100,-12
15,Gombe,171,84
16,Imo,-113,-246
17,Jigawa,41,234
18,Kaduna,-57,75
19,Kano,-7,178
20,Katsina,-70,252
21,Kebbi,-292,170
22,Kogi,-144,-90
23,Kwara,-288,-33
24,Lagos,-352,-170
25,Nasarawa,-28,-45
26,Niger,-165,42
27,Ogun,-377,-133
28,Ondo,-267,-150
29,Osun,-274,-101
30,Oyo,-345,-54
31,Plateau,63,20
32,Rivers,-135,-285
33,Sokoto,-234,281
34,Taraba,136,-69
35,Yobe,190,221
36,Zamfara,-159,215
